"date","y"
2007-01-01,14194.2325598156
2007-04-01,14517.444980008
2007-07-01,14913.5303376744
2007-10-01,14831.3549782291
2008-01-01,14797.8925316384
2008-04-01,15283.7259202082
2008-07-01,15559.5547446727
2008-10-01,13650.5280280568
2009-01-01,13128.9745217172
2009-04-01,12996.8786845151
2009-07-01,13803.5290491959
2009-10-01,14311.1609323883
2010-01-01,15099.3115703398
2010-04-01,16038.3139212049
2010-07-01,15425.7839894937
2010-10-01,16027.1717856959
2011-01-01,16650.0889574358
2011-04-01,16607.8987949248
2011-07-01,16794.3116776807
2011-10-01,16913.5584468491
2012-01-01,16888.761277007
2012-04-01,17239.857838808
2012-07-01,17383.2602847601
2012-10-01,17200.7021157189
2013-01-01,17554.6369189947
2013-04-01,17970.4828594401
2013-07-01,18270.6482798252
2013-10-01,18417.1155589561
2014-01-01,18905.1128969534
2014-04-01,19108.7588059748
2014-07-01,19942.4080951136
2014-10-01,20888.8240201272
2015-01-01,21045.7254892721
2015-04-01,21061.7005660073
2015-07-01,20720.369010937
2015-10-01,20489.8744497572
2016-01-01,21508.5497527748
2016-04-01,21574.5814921248
2016-07-01,21574.8649714556
2016-10-01,21942.083130089
2017-01-01,21543.7076601017
2017-04-01,21777.3948652416
2017-07-01,22036.3755177232
2017-10-01,22325.2688796786
2018-01-01,22403.7224792587
2018-04-01,22472.6425097896
2018-07-01,22761.5981780462
2018-10-01,23219.1659184871
2019-01-01,24142.6110167454
2019-04-01,24264.0290421003
2019-07-01,24671.7744232424
2019-10-01,24703.5503046525
2020-01-01,24799.1371050157
2020-04-01,23705.5349354477
2020-07-01,25389.8112707629
2020-10-01,26261.9860524366
2021-01-01,27607.6551997199
2021-04-01,28915.2138283404
2021-07-01,27329.819663553
2021-10-01,29363.935385489
2022-01-01,28548.831813281
2022-04-01,28459.3481157664
2022-07-01,28682.6800961366
2022-10-01,29311.5095068708
2023-01-01,29616.11604118
2023-04-01,29130.065132764
2023-07-01,29328.7850728046
2023-10-01,28036.6174300463
2024-01-01,26703.8207049076
2024-04-01,25544.518268247
2024-07-01,24158.9495136841
2024-10-01,23406.3497841683
2025-01-01,25287.50948901
2025-04-01,25036.004802044
2025-07-01,NA
2025-10-01,NA
